标题,价格,店铺,链接
"['\t\n李宁（LI-NING）', 'CBA联赛专用成人儿童室内外比赛水泥地中小学生耐磨PU材质青少年训练7号蓝球']",['89.00'],['李宁体育用品京东自营专区'],https://item.jd.com/100016702953.html
"['\t\n李宁（LI-NING）CBA比赛', '室内外成人儿童7号橡胶材质蓝球 LBQK607-2']",['69.00'],['李宁（LINING）球类京东自营专卖店'],https://item.jd.com/100007575759.html
"['\t\n耐克（Nike）室外日常活动训练耐磨PU蓝球 标准7号', ' DO8258-070']",['199.00'],['Nike耐克京东自营专区'],https://item.jd.com/100032253620.html
"['\t\nEVERVON ', '成人比赛训练室内外兼用耐磨 经典原色校园团购款 7号防滑PU', 'EBP7-001']",['59.00'],['EVERVON运动京东自营旗舰店'],https://item.jd.com/100012647615.html
"['户外', '架 可移动标准室外成人比赛训练地埋式蓝球框架子 [款式五] 220圆管+ 1.0钢化篮板+双扣弹簧']",['2080.00'],['赛威迈拓运动户外专营店'],https://item.jd.com/10031521429731.html
"['\t\n亚之杰奥特曼儿童玩具', '4号3-8岁皮球幼儿园训练球三层加厚比赛用球贝利亚&赛罗含气筒']",['35.90'],['亚之杰玩具（YA ZHI JIE WAN JU）京东自营旗舰店'],https://item.jd.com/100005866079.html
"['\t\n摩腾（molten）', 'GG7X 国际篮联公认FIBA7号室内比赛训练球']",['560.00'],['摩腾京东自营专区'],https://item.jd.com/2980078.html
"['\t\n李宁（LI-NING）精英系列 室内外通用比赛CBA7号', ' LBQK967-1']",['169.00'],['李宁（LI-NING）运动球类京东自营专区'],https://item.jd.com/100023864298.html
"['京东京造 ', '7号成人比赛 室内外街头', '拼色吸湿PU皮 青少年中学生训练用球']",['99.90'],['京东京造官方自营旗舰店'],https://item.jd.com/100014762155.html
"['\t\n李宁（LI-NING）', '室内室外户外水泥地橡胶外场', '5号', ' LBQK695-2']",['82.00'],['李宁（LI-NING）运动球类京东自营专区'],https://item.jd.com/100013024367.html
"['户外', '架 可移动标准室外成人比赛训练地埋式蓝球框架子 [款式五] 220圆管+ 1.0钢化篮板+双扣弹簧']",['2080.00'],['赛威迈拓运动户外专营店'],https://item.jd.com/10031521429731.html
"['准者', '室外水泥地防滑耐磨比赛训练专用中学生7号成人大学生PU比赛用球 Z321320027黑紫']",['89.00'],['准者官方旗舰店'],https://item.jd.com/10039738623754.html
"['\t\n斯伯丁(SPALDING)TF-1000传奇系列室内比赛高品质PU', '74-716A']",['503.00'],['斯伯丁京东自营旗舰店'],https://item.jd.com/100001537626.html
"['克洛斯威(CROSSWAY) 7号', 'pu', '耐磨七号', '室外水泥地训练成人比赛学生蓝球PK 深湖绿4903 7号球']",['89.00'],['克洛斯威冠登专卖店'],https://item.jd.com/10026246163161.html
"['斯伯丁', '男耐磨成人7号球室内外通用比赛训练蓝球 84-447Y【黑白涂鸦】']",['78.00'],['准者运动专营店'],https://item.jd.com/12177190144.html
"['斯伯丁', '7号SPALDING职业联赛队徽定制室外室内街头训练比赛用球 湖人606Y（7号标准/PU）']",['159.00'],['倍安贝运动专营店'],https://item.jd.com/10038071344139.html
"['韦伯7号', '加重室内室外耐磨教练训练', '超重', '训练专用蓝球 加重橡胶', '-黑色-1300克']",['68.00'],['追远运动户外专营店'],https://item.jd.com/59895165786.html
"['\t\n李宁（LI-NING）', '室内室外户外水泥地橡胶外场', '5号', '  LBQK655-2']",['79.00'],['李宁（LI-NING）运动球类京东自营专区'],https://item.jd.com/100013341207.html
"['\t\n斯伯丁Spalding', ' 7号室内室外兼用 PU材质黑金色蓝球 76-869Y']",['156.00'],['斯伯丁京东自营专卖店'],https://item.jd.com/4843566.html
"['免费刻名字撩风者星空高颜值', ' 个性防滑耐磨学生室外女生儿童小学生比赛标准软皮 7号 努力-星空']",['88.00'],['撩风者官方旗舰店'],https://item.jd.com/10037743681765.html
"['\t\n斯伯丁Spalding', '标准7号比赛训练PU', '涂鸦系列室内室外通用74-414/76-884YCYCLONE飓风来袭']",['118.00'],['斯伯丁京东自营专卖店'],https://item.jd.com/1205291.html
"['\t\n摩腾（molten）', 'GF7X国际篮联FIBA公认7号室内PU比赛训练球']",['381.00'],['摩腾京东自营专区'],https://item.jd.com/4575798.html
"['得力中考训练', ' 7号PU花式', '(花色)(个)F1182']",['119.00'],['安格耐特京东自营旗舰店'],https://item.jd.com/100031483170.html
"['\t\nEVERVON ', '成人比赛训练室内外兼用耐磨 涂鸦彩虹校园团购款 7号防滑橡胶', 'EBX-7030']",['49.00'],['EVERVON运动京东自营旗舰店'],https://item.jd.com/100012647647.html
"['\t\n李宁LINING CBA联赛室内外比赛', 'PU材质蓝球 LBQK827-3']",['179.00'],['李宁（LI-NING）球类京东自营专区'],https://item.jd.com/100011993382.html
"['nike耐克', '节日礼物礼盒装 2022年春季新款防滑耐磨花球标准7号球室内室外比赛用球 DO8258-097-1/', '+礼盒包装 7']",['209.00'],['天马运动专营店'],https://item.jd.com/10036429839333.html
"['\t\n斯伯丁SPALDING  CUBA联赛比赛', '7号PU室内外蓝球76-631Y']",['119.00'],['斯伯丁京东自营旗舰店'],https://item.jd.com/100005583139.html
"['\t\n斯伯丁（SPALDING）室内外比赛', 'CUBA联赛比赛7号PU材质蓝球 76-632Y']",['119.00'],['SPALDING斯伯丁京东自营专区'],https://item.jd.com/100004860651.html
"['鸿克 ', '真皮质感室内室外水泥地耐磨皮球翻毛软皮学生成人训练比赛蓝球 7号 反毛865B']",['118.00'],['鸿克旗舰店'],https://item.jd.com/21129980625.html
"['MGB.JDNG', '软皮比赛标准球7号防滑耐磨吸湿成人中小学生蓝球 K-908送打气筒1个+气针1枚+网兜1个']",['108.00'],['南柯迪运动户外专营店'],https://item.jd.com/31682426709.html
"['斯伯丁旗舰店SPALDING掌控比赛用球室内室外PU', ' 76-874Y（7号球）']",['183.00'],['斯伯丁旗舰店'],https://item.jd.com/10030502992786.html
"['李宁LINING', '7号成人手感之王CBA专业室外牛皮真皮手感水泥地耐磨pu材质蓝球 7号 023']",['79.00'],['双豪运动专营店'],https://item.jd.com/32784047590.html
"['威尔胜（Wilson）', '水泥地耐磨吸湿学生室内室外7号校园训练比赛用球 WB730XDEF-比赛复刻-加厚PU']",['169.00'],['WILSON弘润元吉专卖店'],https://item.jd.com/10277333663.html
"['李宁', '室外室内PU皮耐磨软手感成人中学生反伍比赛训练用球 7号 黑色(PU/标准)']",['107.00'],['倍安贝户外专营店'],https://item.jd.com/10037705921784.html
"['准者', 'PU材质防滑耐磨室内外通用比赛训练蓝球成人儿童小学生皮球水泥地街头男女凖者 ZZ1603013蓝白红【7号球】']",['73.00'],['准者官方旗舰店'],https://item.jd.com/10781383895.html
"['匹克（PEAK）', '成人反光', '夜光发光荧光抖音同款限量版蓝球圣诞情人节礼物送女男生朋友网红反光', '  DQ112755 7号橡胶 黑色 #48']",['46.00'],['扶摇运动专营店'],https://item.jd.com/10035543550798.html
"['准者', '防滑耐磨标准7号学生比赛训练pu室内室外通用', ' Z318420117(粉色)']",['73.00'],['顶护运动专营店'],https://item.jd.com/51046530335.html
"['\t\n威尔胜 Wilson 2021款NBA FORGE系列PU吸湿防滑室内外通用成人', '7号球 FORGE PRO WTB8000IB07CN']",['272.00'],['威尔胜京东自营旗舰店'],https://item.jd.com/100023149838.html
"['李宁LI-NING', 'CBA室内外训练耐打蓝球 水泥地耐磨橡胶', ' 7号 LBQK607-4 ']",['75.00'],['奥博运动专营店'],https://item.jd.com/44079571336.html
"['\t\n李宁（LI-NING）', '成人比赛儿童训练室内外水泥地橡胶耐磨防滑大学生青少年中小学男女蓝球5号']",['73.00'],['李宁体育用品京东自营专区'],https://item.jd.com/100023864280.html
"['克洛斯威', '耐磨吸湿真皮手感七号成人六号女式五号学生比赛训练粉色街头', ' 6号 浅粉色;女子用球']",['72.00'],['克洛斯威官方旗舰店'],https://item.jd.com/10021825581799.html
"['\t\n李宁（LI-NING）CBA官方联赛比赛用球 成人7号', ' FIBA 认证比赛', ' LBQK033-1']",['479.00'],['李宁（LI-NING）运动球类京东自营专区'],https://item.jd.com/100016254421.html
"['萨达', '7号球湖人黑曼巴24号签名纪念款升级吸湿软皮耐磨青少年学生训练比赛街头蓝球 7号升级吸湿-科比紫黄']",['98.00'],['萨达洛杉专卖店'],https://item.jd.com/10036841705030.html
"['李宁', '7号成人5号儿童中小学生幼儿园室外街头水泥地男女生标准训练橡胶球耐磨柔软手感彩虹色通用蓝球 7号 梦幻糖果 657-1']",['79.00'],['羽域体育运动专营店'],https://item.jd.com/69299549502.html
"['\t\n李宁（LI-NING）CBA职业联赛室内外训练比赛6号', ' 女子', ' LBQK576-1']",['109.00'],['李宁（LI-NING）运动球类京东自营专区'],https://item.jd.com/100024674458.html
"['准者', '7号防滑耐磨PU材质成人青少年学生比赛训练专用蓝球 泼墨蓝【7号球】']",['76.00'],['准者壹战专卖店'],https://item.jd.com/72083359706.html
"['李宁', '室外耐磨PU高弹防尘水泥地男女联赛指定用球 7号 通用标准(耐磨PU)']",['84.00'],['倍安贝户外专营店'],https://item.jd.com/10025555494234.html
"['李宁', '室外成人儿童幼儿园小学生蓝球水泥地耐磨专业用球 7号 橡胶发泡绿色']",['79.00'],['李宁旺昂专卖店'],https://item.jd.com/10043937224288.html
"['斯伯丁', '室内室外防滑耐磨掌控7号球 74-874Y']",['150.00'],['顶护运动专营店'],https://item.jd.com/71886443646.html
"['克洛斯威', '耐磨室内外水泥地儿童学生训练成人比赛吸湿超纤翻毛皮', ' 7号 1027灰棕色']",['45.00'],['克洛斯威官方旗舰店'],https://item.jd.com/55674067467.html
"['\t\n克洛斯威', '耐磨吸湿真皮手感七号成人六号女式五号学生比赛训练粉色街头', ' 7号 孔雀蓝;标准用球']",['72.00'],['克洛斯威官方旗舰店'],https://item.jd.com/10021825581795.html
"['斯伯丁旗舰店SPALDING蓝黄白室内室外PU5号', '76-893Y 5号球(青少年)']",['159.00'],['斯伯丁旗舰店'],https://item.jd.com/55025779865.html
"['军哥', '涂鸦', '街头女子中考男女生女式专用粉色星空限量版pu中考训练比赛蓝球名耐（MINGNAI） 花鞋球-7号标准比赛用球']",['118.00'],['名耐体育用品旗舰店'],https://item.jd.com/10021317754738.html
"['LINING李宁', '儿童成人水泥地耐磨比赛训练5号7号小学生幼儿园橡胶蓝球lanqiu 5#【蓝色】LBQK605-4']",['68.00'],['华冠运动专营店'],https://item.jd.com/50697967773.html
"['斯伯丁旗舰店SPALDING玩赏儿童节礼物橡胶', '3号球65-134y 3号（儿童）']",['67.00'],['斯伯丁旗舰店'],https://item.jd.com/71725464635.html
"['克洛斯威', '幼儿园儿童小学生男女室内室外水泥地耐磨成人比赛训练用球 卡通-红蓝白 5号球 4-12岁使用']",['35.90'],['克洛斯威官方旗舰店'],https://item.jd.com/29095643973.html
"['准者投篮训练', '7号球防滑耐磨青少年学生比赛训练球室内外 Z320220119投篮训练球']",['139.00'],['准者官方旗舰店'],https://item.jd.com/69105855264.html
"['\t\n李宁（LI-NING）', '室内室外户外水泥地橡胶外场', '7号', ' LBQK657-2']",['79.00'],['李宁（LI-NING）运动球类京东自营专区'],https://item.jd.com/100013341215.html
"['MATMO', '7号吸湿PU室外室内成人青少年麦德姆牛仔纹街头耐磨比赛训练蓝球 粉色（7号球/吸湿PU）']",['78.00'],['麦德姆运动专营店'],https://item.jd.com/10044607000635.html
"['\t\n斯伯丁（SPALDING）宝可梦联名青少年儿童室内外5号橡胶材质', ' 84-580Y']",['125.00'],['SPALDING斯伯丁京东自营专区'],https://item.jd.com/100025555904.html
"['\t\n耐克（Nike）', '室内室外户外水泥地橡胶外场', ' 环保橡胶  DR5095-973']",['169.00'],['Nike耐克京东自营专区'],https://item.jd.com/100032253648.html
"['MGB.JDNG 训练', '比赛儿童中小学生室内外防滑耐磨青少年蓝球 6号', 'k-556【打气筒气针网兜】']",['58.00'],['威动运动专营店'],https://item.jd.com/28837708598.html
"['李宁', 'LiNing狼头PU皮成人室外室内蓝球水泥地耐磨街头', ' 7号 玉绿色（耐磨PU）']",['107.00'],['倍安贝户外专营店'],https://item.jd.com/69750820226.html
"['铂奈熙', '黑曼巴7号球PU吸湿软皮耐磨室内外通用成人学生训练比赛球 7号科比黑金色']",['148.00'],['华煦运动户外专营店'],https://item.jd.com/10041982175671.html
